prompt_id,source_workload_id,prompt,target_sla,target_energy,target_imbalance,target_fairness,target_carbon
prompt-000023,workload-004477,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: latency-sensitive stream requiring edge locality and rapid response; priority=1; regime=energy-scarcity; cpu=1.58; memory_gb=4.80; latency_budget_ms=38.8; energy_sensitivity=0.44; edge_locality=0.89",0.48,0.18,0.1,0.08,0.16
prompt-000024,workload-002139,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: transactional service requiring stable latency and low jitter; priority=2; regime=high-contention; cpu=2.35; memory_gb=3.47; latency_budget_ms=84.4; energy_sensitivity=0.30; edge_locality=0.68",0.45,0.14,0.18,0.13,0.1
prompt-000025,workload-004644,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: throughput-centric batch workload with high compute and energy sensitivity; priority=2; regime=energy-scarcity; cpu=5.38; memory_gb=7.09; latency_budget_ms=241.6; energy_sensitivity=0.80; edge_locality=0.31",0.15,0.35,0.14,0.1,0.26
prompt-000026,workload-000229,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: hybrid microservice chain with variable compute and latency demand; priority=3; regime=normal; cpu=3.09; memory_gb=9.84; latency_budget_ms=155.1; energy_sensitivity=0.60; edge_locality=0.69",0.37,0.2,0.18,0.15,0.1
prompt-000027,workload-001354,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: throughput-centric batch workload with high compute and energy sensitivity; priority=3; regime=high-contention; cpu=7.67; memory_gb=9.37; latency_budget_ms=314.6; energy_sensitivity=0.98; edge_locality=0.25",0.26,0.27,0.17,0.1,0.2
prompt-000028,workload-004230,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: latency-sensitive stream requiring edge locality and rapid response; priority=2; regime=energy-scarcity; cpu=3.12; memory_gb=1.70; latency_budget_ms=45.7; energy_sensitivity=0.48; edge_locality=0.77",0.45,0.18,0.11,0.1,0.16
prompt-000029,workload-002356,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: hybrid microservice chain with variable compute and latency demand; priority=2; regime=high-contention; cpu=2.57; memory_gb=8.62; latency_budget_ms=106.8; energy_sensitivity=0.70; edge_locality=0.33",0.31,0.23,0.18,0.15,0.13
prompt-000030,workload-001116,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: transactional service requiring stable latency and low jitter; priority=1; regime=normal; cpu=2.16; memory_gb=2.83; latency_budget_ms=116.3; energy_sensitivity=0.25; edge_locality=0.38",0.45,0.14,0.18,0.13,0.1
prompt-000031,workload-003102,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: hybrid microservice chain with variable compute and latency demand; priority=1; regime=burst; cpu=7.84; memory_gb=16.13; latency_budget_ms=192.1; energy_sensitivity=0.65; edge_locality=0.23",0.31,0.23,0.18,0.15,0.13
prompt-000032,workload-000468,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: transactional service requiring stable latency and low jitter; priority=2; regime=normal; cpu=2.06; memory_gb=5.78; latency_budget_ms=91.0; energy_sensitivity=0.33; edge_locality=0.59",0.45,0.14,0.18,0.13,0.1
prompt-000033,workload-000797,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: throughput-centric batch workload with high compute and energy sensitivity; priority=3; regime=normal; cpu=5.77; memory_gb=18.25; latency_budget_ms=297.3; energy_sensitivity=0.84; edge_locality=0.23",0.26,0.27,0.17,0.1,0.2
prompt-000034,workload-002700,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: latency-sensitive stream requiring edge locality and rapid response; priority=1; regime=burst; cpu=2.14; memory_gb=1.17; latency_budget_ms=51.4; energy_sensitivity=0.57; edge_locality=0.88",0.53,0.13,0.13,0.08,0.13
prompt-000035,workload-002029,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: latency-sensitive stream requiring edge locality and rapid response; priority=2; regime=high-contention; cpu=2.33; memory_gb=4.49; latency_budget_ms=51.6; energy_sensitivity=0.42; edge_locality=0.89",0.53,0.13,0.13,0.08,0.13
prompt-000036,workload-000333,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: throughput-centric batch workload with high compute and energy sensitivity; priority=3; regime=normal; cpu=7.21; memory_gb=5.70; latency_budget_ms=272.5; energy_sensitivity=0.77; edge_locality=0.26",0.26,0.27,0.17,0.1,0.2
prompt-000037,workload-002530,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: latency-sensitive stream requiring edge locality and rapid response; priority=2; regime=burst; cpu=1.80; memory_gb=0.91; latency_budget_ms=35.1; energy_sensitivity=0.45; edge_locality=0.92",0.53,0.13,0.13,0.08,0.13
prompt-000038,workload-002924,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: throughput-centric batch workload with high compute and energy sensitivity; priority=2; regime=burst; cpu=7.18; memory_gb=17.08; latency_budget_ms=314.3; energy_sensitivity=0.92; edge_locality=0.13",0.2,0.3,0.17,0.1,0.23
prompt-000039,workload-001338,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: latency-sensitive stream requiring edge locality and rapid response; priority=2; regime=high-contention; cpu=3.22; memory_gb=5.23; latency_budget_ms=36.8; energy_sensitivity=0.48; edge_locality=0.75",0.5,0.13,0.14,0.1,0.13
prompt-000040,workload-002921,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: transactional service requiring stable latency and low jitter; priority=1; regime=burst; cpu=1.25; memory_gb=6.91; latency_budget_ms=112.4; energy_sensitivity=0.20; edge_locality=0.58",0.45,0.14,0.18,0.13,0.1
prompt-000041,workload-001315,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: latency-sensitive stream requiring edge locality and rapid response; priority=2; regime=high-contention; cpu=2.05; memory_gb=5.04; latency_budget_ms=58.4; energy_sensitivity=0.53; edge_locality=0.90",0.53,0.13,0.13,0.08,0.13
prompt-000042,workload-004621,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: transactional service requiring stable latency and low jitter; priority=1; regime=energy-scarcity; cpu=1.53; memory_gb=4.84; latency_budget_ms=77.4; energy_sensitivity=0.33; edge_locality=0.35",0.4,0.19,0.15,0.13,0.13
prompt-000043,workload-002417,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: transactional service requiring stable latency and low jitter; priority=3; regime=high-contention; cpu=0.94; memory_gb=2.89; latency_budget_ms=101.2; energy_sensitivity=0.21; edge_locality=0.62",0.51,0.11,0.18,0.13,0.07
prompt-000044,workload-003331,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: transactional service requiring stable latency and low jitter; priority=1; regime=burst; cpu=1.95; memory_gb=8.32; latency_budget_ms=123.0; energy_sensitivity=0.48; edge_locality=0.37",0.45,0.14,0.18,0.13,0.1
prompt-000045,workload-003477,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: latency-sensitive stream requiring edge locality and rapid response; priority=3; regime=burst; cpu=1.94; memory_gb=4.88; latency_budget_ms=59.2; energy_sensitivity=0.41; edge_locality=0.93",0.59,0.1,0.13,0.08,0.1
prompt-000046,workload-000453,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: latency-sensitive stream requiring edge locality and rapid response; priority=1; regime=normal; cpu=2.72; memory_gb=3.09; latency_budget_ms=55.7; energy_sensitivity=0.56; edge_locality=0.91",0.53,0.13,0.13,0.08,0.13
prompt-000047,workload-000677,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: transactional service requiring stable latency and low jitter; priority=3; regime=normal; cpu=1.59; memory_gb=5.16; latency_budget_ms=112.9; energy_sensitivity=0.32; edge_locality=0.51",0.51,0.11,0.18,0.13,0.07
prompt-000048,workload-000556,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: latency-sensitive stream requiring edge locality and rapid response; priority=1; regime=normal; cpu=0.83; memory_gb=4.07; latency_budget_ms=52.5; energy_sensitivity=0.48; edge_locality=0.83",0.53,0.13,0.13,0.08,0.13
prompt-000049,workload-000133,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: throughput-centric batch workload with high compute and energy sensitivity; priority=2; regime=normal; cpu=6.75; memory_gb=10.40; latency_budget_ms=262.7; energy_sensitivity=0.79; edge_locality=0.13",0.2,0.3,0.17,0.1,0.23
prompt-000050,workload-000509,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: hybrid microservice chain with variable compute and latency demand; priority=2; regime=normal; cpu=1.72; memory_gb=13.58; latency_budget_ms=151.0; energy_sensitivity=0.47; edge_locality=0.50",0.31,0.23,0.18,0.15,0.13
prompt-000051,workload-000851,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: throughput-centric batch workload with high compute and energy sensitivity; priority=2; regime=normal; cpu=6.61; memory_gb=11.28; latency_budget_ms=268.5; energy_sensitivity=0.91; edge_locality=0.30",0.2,0.3,0.17,0.1,0.23
prompt-000052,workload-003051,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: hybrid microservice chain with variable compute and latency demand; priority=3; regime=burst; cpu=4.42; memory_gb=13.53; latency_budget_ms=178.4; energy_sensitivity=0.73; edge_locality=0.52",0.37,0.2,0.18,0.15,0.1
prompt-000053,workload-001654,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: transactional service requiring stable latency and low jitter; priority=1; regime=high-contention; cpu=3.65; memory_gb=2.02; latency_budget_ms=111.9; energy_sensitivity=0.36; edge_locality=0.54",0.45,0.14,0.18,0.13,0.1
prompt-000054,workload-004641,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: throughput-centric batch workload with high compute and energy sensitivity; priority=2; regime=energy-scarcity; cpu=5.26; memory_gb=6.06; latency_budget_ms=221.0; energy_sensitivity=0.90; edge_locality=0.03",0.15,0.35,0.14,0.1,0.26
prompt-000055,workload-000841,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: throughput-centric batch workload with high compute and energy sensitivity; priority=2; regime=normal; cpu=5.84; memory_gb=11.87; latency_budget_ms=312.1; energy_sensitivity=0.86; edge_locality=0.11",0.2,0.3,0.17,0.1,0.23
prompt-000056,workload-000439,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: throughput-centric batch workload with high compute and energy sensitivity; priority=3; regime=normal; cpu=6.64; memory_gb=11.58; latency_budget_ms=307.5; energy_sensitivity=0.77; edge_locality=0.32",0.26,0.27,0.17,0.1,0.2
prompt-000057,workload-004702,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: hybrid microservice chain with variable compute and latency demand; priority=3; regime=energy-scarcity; cpu=6.24; memory_gb=6.36; latency_budget_ms=234.6; energy_sensitivity=0.77; edge_locality=0.44",0.32,0.25,0.15,0.15,0.13
prompt-000058,workload-003011,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: hybrid microservice chain with variable compute and latency demand; priority=3; regime=burst; cpu=3.11; memory_gb=4.90; latency_budget_ms=205.2; energy_sensitivity=0.86; edge_locality=0.65",0.37,0.2,0.18,0.15,0.1
prompt-000059,workload-003310,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: hybrid microservice chain with variable compute and latency demand; priority=1; regime=burst; cpu=4.68; memory_gb=2.95; latency_budget_ms=101.9; energy_sensitivity=0.64; edge_locality=0.29",0.31,0.23,0.18,0.15,0.13
prompt-000060,workload-000916,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: transactional service requiring stable latency and low jitter; priority=2; regime=normal; cpu=2.65; memory_gb=3.54; latency_budget_ms=120.6; energy_sensitivity=0.26; edge_locality=0.42",0.45,0.14,0.18,0.13,0.1
prompt-000061,workload-004851,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: throughput-centric batch workload with high compute and energy sensitivity; priority=2; regime=energy-scarcity; cpu=5.59; memory_gb=5.28; latency_budget_ms=331.2; energy_sensitivity=0.98; edge_locality=0.01",0.15,0.35,0.14,0.1,0.26
prompt-000062,workload-004135,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: latency-sensitive stream requiring edge locality and rapid response; priority=3; regime=energy-scarcity; cpu=2.59; memory_gb=1.26; latency_budget_ms=43.9; energy_sensitivity=0.51; edge_locality=0.87",0.54,0.15,0.1,0.08,0.13
prompt-000063,workload-004401,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: latency-sensitive stream requiring edge locality and rapid response; priority=1; regime=energy-scarcity; cpu=0.94; memory_gb=2.35; latency_budget_ms=43.4; energy_sensitivity=0.58; edge_locality=0.99",0.48,0.18,0.1,0.08,0.16
prompt-000064,workload-003656,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: transactional service requiring stable latency and low jitter; priority=1; regime=burst; cpu=1.25; memory_gb=9.26; latency_budget_ms=86.9; energy_sensitivity=0.27; edge_locality=0.46",0.45,0.14,0.18,0.13,0.1
prompt-000065,workload-003108,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: transactional service requiring stable latency and low jitter; priority=2; regime=burst; cpu=3.02; memory_gb=3.10; latency_budget_ms=93.6; energy_sensitivity=0.34; edge_locality=0.70",0.45,0.14,0.18,0.13,0.1
prompt-000066,workload-002974,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: latency-sensitive stream requiring edge locality and rapid response; priority=1; regime=burst; cpu=1.38; memory_gb=3.46; latency_budget_ms=49.5; energy_sensitivity=0.53; edge_locality=0.98",0.53,0.13,0.13,0.08,0.13
prompt-000067,workload-004778,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: transactional service requiring stable latency and low jitter; priority=1; regime=energy-scarcity; cpu=3.09; memory_gb=6.91; latency_budget_ms=118.7; energy_sensitivity=0.25; edge_locality=0.33",0.4,0.19,0.15,0.13,0.13
prompt-000068,workload-004768,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: latency-sensitive stream requiring edge locality and rapid response; priority=2; regime=energy-scarcity; cpu=2.91; memory_gb=2.81; latency_budget_ms=53.6; energy_sensitivity=0.49; edge_locality=0.84",0.48,0.18,0.1,0.08,0.16
prompt-000069,workload-004616,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: throughput-centric batch workload with high compute and energy sensitivity; priority=2; regime=energy-scarcity; cpu=4.76; memory_gb=17.37; latency_budget_ms=300.9; energy_sensitivity=0.72; edge_locality=0.10",0.15,0.35,0.14,0.1,0.26
prompt-000070,workload-004058,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: hybrid microservice chain with variable compute and latency demand; priority=3; regime=energy-scarcity; cpu=1.82; memory_gb=12.72; latency_budget_ms=209.2; energy_sensitivity=0.67; edge_locality=0.31",0.32,0.25,0.15,0.15,0.13
prompt-000071,workload-002208,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: throughput-centric batch workload with high compute and energy sensitivity; priority=2; regime=high-contention; cpu=2.96; memory_gb=11.81; latency_budget_ms=336.5; energy_sensitivity=0.96; edge_locality=0.11",0.2,0.3,0.17,0.1,0.23
prompt-000072,workload-001070,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: hybrid microservice chain with variable compute and latency demand; priority=2; regime=normal; cpu=4.60; memory_gb=5.66; latency_budget_ms=178.1; energy_sensitivity=0.51; edge_locality=0.32",0.31,0.23,0.18,0.15,0.13
prompt-000073,workload-003620,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: throughput-centric batch workload with high compute and energy sensitivity; priority=1; regime=burst; cpu=3.10; memory_gb=12.62; latency_budget_ms=333.7; energy_sensitivity=0.99; edge_locality=0.28",0.2,0.3,0.17,0.1,0.23
prompt-000074,workload-000906,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: hybrid microservice chain with variable compute and latency demand; priority=2; regime=normal; cpu=4.92; memory_gb=11.47; latency_budget_ms=131.7; energy_sensitivity=0.76; edge_locality=0.71",0.31,0.23,0.18,0.15,0.13
prompt-000075,workload-003007,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: transactional service requiring stable latency and low jitter; priority=2; regime=burst; cpu=3.17; memory_gb=5.58; latency_budget_ms=77.4; energy_sensitivity=0.33; edge_locality=0.70",0.45,0.14,0.18,0.13,0.1
prompt-000076,workload-004098,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: latency-sensitive stream requiring edge locality and rapid response; priority=2; regime=energy-scarcity; cpu=2.88; memory_gb=5.16; latency_budget_ms=51.9; energy_sensitivity=0.45; edge_locality=0.87",0.48,0.18,0.1,0.08,0.16
prompt-000077,workload-002701,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: latency-sensitive stream requiring edge locality and rapid response; priority=1; regime=burst; cpu=2.38; memory_gb=6.32; latency_budget_ms=44.3; energy_sensitivity=0.63; edge_locality=0.82",0.53,0.13,0.13,0.08,0.13
prompt-000078,workload-004527,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: hybrid microservice chain with variable compute and latency demand; priority=2; regime=energy-scarcity; cpu=5.13; memory_gb=7.34; latency_budget_ms=122.9; energy_sensitivity=0.56; edge_locality=0.41",0.26,0.28,0.15,0.15,0.16
prompt-000079,workload-001308,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: transactional service requiring stable latency and low jitter; priority=2; regime=high-contention; cpu=3.37; memory_gb=1.18; latency_budget_ms=120.2; energy_sensitivity=0.31; edge_locality=0.34",0.45,0.14,0.18,0.13,0.1
prompt-000080,workload-004961,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: hybrid microservice chain with variable compute and latency demand; priority=2; regime=energy-scarcity; cpu=5.51; memory_gb=13.56; latency_budget_ms=170.4; energy_sensitivity=0.66; edge_locality=0.72",0.26,0.28,0.15,0.15,0.16
prompt-000081,workload-002523,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: throughput-centric batch workload with high compute and energy sensitivity; priority=2; regime=burst; cpu=8.70; memory_gb=17.08; latency_budget_ms=268.0; energy_sensitivity=0.89; edge_locality=0.02",0.2,0.3,0.17,0.1,0.23
prompt-000082,workload-002063,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: hybrid microservice chain with variable compute and latency demand; priority=1; regime=high-contention; cpu=2.59; memory_gb=6.54; latency_budget_ms=96.7; energy_sensitivity=0.69; edge_locality=0.75",0.31,0.23,0.18,0.15,0.13
prompt-000083,workload-001091,"Interpret the scheduling intent and return normalized priorities for SLA, energy, imbalance, fairness, and carbon. Context: hybrid microservice chain with variable compute and latency demand; priority=2; regime=normal; cpu=5.04; memory_gb=9.44; latency_budget_ms=235.3; energy_sensitivity=0.65; edge_locality=0.55",0.31,0.23,0.18,0.15,0.13
